job_id,job_label,final_score,feature,shap_value,shap_abs
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Sistem Basis Data,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Analisis dan Perancangan Sistem Informasi,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Pengembangan Aplikasi Website,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Perancangan Interaksi,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Sistem Operasi,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Integrasi Aplikasi Enterprise,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Keamanan Sistem Informasi,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Manajemen Proyek Sistem Informasi,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Penambangan Data,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Rekayasa Proses Bisnis,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Arsitektur Enterprise,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Data Warehouse dan Business Intelligence,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Proyek Perangkat Lunak,-1.21376,1.21376
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Sistem Informasi Akuntansi,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Tata Kelola dan Manajemen Teknologi Informasi,0.0,0.0
gd_1010139624650,Research Assistant 1- Word Learning Lab @ Boys Town National Research Hospital,2.009,Pengembangan Sistem Cerdas,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Pemodelan Proses Bisnis,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Algoritma dan Pemrograman,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Pengantar Sistem Informasi,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Sistem Enterprise,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Jaringan Komputer,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Pemrograman Berorientasi Objek,1.90068,1.90068
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Sistem Basis Data,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Analisis dan Perancangan Sistem Informasi,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Pengembangan Aplikasi Website,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Perancangan Interaksi,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Sistem Operasi,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Integrasi Aplikasi Enterprise,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Keamanan Sistem Informasi,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Manajemen Proyek Sistem Informasi,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Penambangan Data,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Rekayasa Proses Bisnis,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Arsitektur Enterprise,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Data Warehouse dan Business Intelligence,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Proyek Perangkat Lunak,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Sistem Informasi Akuntansi,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Tata Kelola dan Manajemen Teknologi Informasi,0.0,0.0
li_4430717045,Software Engineer @ Winaxis LLC,1.901,Pengembangan Sistem Cerdas,0.0,0.0
