course_code,course_name,rank,similarity,job_id,job_title,job_company,job_source
BBK1LAB3,Sistem Basis Data,8,0.8035,li_4435377657,Software Engineer,Software Engineering Institute | Carnegie Mellon University,linkedin
BBK1LAB3,Sistem Basis Data,9,0.8035,li_4434389490,Software Engineer,Carnegie Mellon University,linkedin
BBK1LAB3,Sistem Basis Data,10,0.8032,li_4286961888,Software Engineer - All Levels,GlossGenius,linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,1,0.8222,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,2,0.8167,li_4286961888,Software Engineer - All Levels,GlossGenius,linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,3,0.8156,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,4,0.8151,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,5,0.814,li_4432362563,"Software Engineer, Platform [33153]",Stealth Startup,linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,6,0.8139,li_4286968047,Software Engineer - All Levels,GlossGenius,linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,7,0.8135,li_4388372783,"AI/ML Engineer, Software Development - Noke",Janus International,linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,8,0.8127,li_4385647711,"Software Engineer, Developer Experience (AI)",Clay,linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,9,0.8122,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK2AAB3,Analisis dan Perancangan Sistem Informasi,10,0.8108,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,1,0.8144,li_4434016802,Back End Developer,Cooler Master USA,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,2,0.8134,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,3,0.8106,li_4435216514,Back-end Software Development Engineer,FastTek Global,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,4,0.8074,li_4431117643,Software Developer,IEQ Technology,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,5,0.8069,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,6,0.8047,li_4348953287,Backend Software Engineer,Twenty,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,7,0.8035,li_4323760824,"Software Engineer, Backend",Clay,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,8,0.8034,li_4339359236,"Software Engineer, Backend",Clay,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,9,0.8034,li_4338267967,"Software Engineer, Backend",Clay,linkedin
BBK2DAB3,Pengembangan Aplikasi Website,10,0.8033,li_4434302637,Front-End Developer,Bario Gifts,linkedin
BBK2EAB3,Perancangan Interaksi,1,0.8394,li_4408112041,"UI/UX Designer, Lion Holdings",Valuetainment,linkedin
BBK2EAB3,Perancangan Interaksi,2,0.8321,li_4433193265,UX Designer,Scale.jobs,linkedin
BBK2EAB3,Perancangan Interaksi,3,0.8308,li_4418939171,UI/UX Designer,Futurex,linkedin
BBK2EAB3,Perancangan Interaksi,4,0.8291,li_4431725005,UX Designer,MDAEdge,linkedin
BBK2EAB3,Perancangan Interaksi,5,0.8272,li_4410016324,UI/UX Designer,"Myanmar Zarla Distribution Co.,Ltd",linkedin
