course_name,rank,job_id,job_title,tfidf_similarity
Rekayasa Proses Bisnis,8,li_4372153003,Applied ML Engineer,0.0199
Rekayasa Proses Bisnis,9,li_4411864449,ES Application Developer II,0.0198
Rekayasa Proses Bisnis,10,li_4369542154,Product Designer,0.0187
Arsitektur Enterprise,1,li_4425985667,Product Designer,0.0655
Arsitektur Enterprise,2,li_4435815437,Data Analyst (Data Management),0.0645
Arsitektur Enterprise,3,li_4409361649,Software Engineer - Back End,0.0492
Arsitektur Enterprise,4,li_4344168688,Full-Stack E-Commerce Developer,0.0483
Arsitektur Enterprise,5,li_4410016324,UI/UX Designer,0.0466
Arsitektur Enterprise,6,li_4383899114,Web Developer,0.0451
Arsitektur Enterprise,7,li_4372153003,Applied ML Engineer,0.0426
Arsitektur Enterprise,8,li_4411864449,ES Application Developer II,0.0424
Arsitektur Enterprise,9,li_4339434305,"Software Engineer, All Teams",0.0409
Arsitektur Enterprise,10,li_4340104167,"Software Engineer, All Teams",0.0409
Data Warehouse dan Business Intelligence,1,li_4427749735,"Analyst, Enterprise Data",0.0566
Data Warehouse dan Business Intelligence,2,li_4435815437,Data Analyst (Data Management),0.0542
Data Warehouse dan Business Intelligence,3,li_4430803025,Technical Data Analyst,0.0448
Data Warehouse dan Business Intelligence,4,li_4427645315,"IT Data Analyst | SQL, Power BI & Business Intelligence",0.0412
Data Warehouse dan Business Intelligence,5,li_4407944975,Analytics Engineer,0.0387
Data Warehouse dan Business Intelligence,6,li_4368833518,Data Analyst,0.0378
Data Warehouse dan Business Intelligence,7,gd_1010183910310,Data Quality Officer,0.0373
Data Warehouse dan Business Intelligence,8,li_4428736410,Manufacturing Data Analyst,0.0363
Data Warehouse dan Business Intelligence,9,li_4434673373,Data Scientist,0.0362
Data Warehouse dan Business Intelligence,10,li_4434678173,Data Scientist,0.0362
Proyek Perangkat Lunak,1,li_4398066516,AI/ML Engineer,0.049
Proyek Perangkat Lunak,2,li_4433385208,Software Engineer,0.0415
Proyek Perangkat Lunak,3,li_4433370911,Software Engineer,0.0415
Proyek Perangkat Lunak,4,li_4433392028,Software Engineer,0.0415
Proyek Perangkat Lunak,5,li_4433377681,Software Engineer,0.0415
Proyek Perangkat Lunak,6,li_4433381258,Software Engineer,0.0415
Proyek Perangkat Lunak,7,li_4433375752,Software Engineer,0.0415
Proyek Perangkat Lunak,8,li_4433382209,Software Engineer,0.0415
Proyek Perangkat Lunak,9,li_4425985667,Product Designer,0.0399
Proyek Perangkat Lunak,10,li_4433114083,Software Engineer,0.0348
Sistem Informasi Akuntansi,1,li_4435373470,Product Data Operations Analyst,0.054
Sistem Informasi Akuntansi,2,li_4407175659,Applied AI Engineer,0.0451
Sistem Informasi Akuntansi,3,li_4375338574,NetSuite Developer,0.0436
Sistem Informasi Akuntansi,4,li_4434190363,Junior Software Engineer,0.0424
Sistem Informasi Akuntansi,5,li_4414935057,Software Developer,0.0424
Sistem Informasi Akuntansi,6,li_4425985667,Product Designer,0.0361
Sistem Informasi Akuntansi,7,li_4435815437,Data Analyst (Data Management),0.0355
Sistem Informasi Akuntansi,8,li_3686416246,Epicor Software Programmer,0.0308
Sistem Informasi Akuntansi,9,li_4431882519,Software Developer,0.0276
Sistem Informasi Akuntansi,10,li_4409361649,Software Engineer - Back End,0.0271
Tata Kelola dan Manajemen Teknologi Informasi,1,li_4425985667,Product Designer,0.0346
Tata Kelola dan Manajemen Teknologi Informasi,2,li_4435815437,Data Analyst (Data Management),0.0341
Tata Kelola dan Manajemen Teknologi Informasi,3,li_4409361649,Software Engineer - Back End,0.026
Tata Kelola dan Manajemen Teknologi Informasi,4,li_4344168688,Full-Stack E-Commerce Developer,0.0256
Tata Kelola dan Manajemen Teknologi Informasi,5,li_4410016324,UI/UX Designer,0.0246
Tata Kelola dan Manajemen Teknologi Informasi,6,li_4383899114,Web Developer,0.0239
Tata Kelola dan Manajemen Teknologi Informasi,7,li_4372153003,Applied ML Engineer,0.0225
Tata Kelola dan Manajemen Teknologi Informasi,8,li_4411864449,ES Application Developer II,0.0224
Tata Kelola dan Manajemen Teknologi Informasi,9,li_4369542154,Product Designer,0.0211
Tata Kelola dan Manajemen Teknologi Informasi,10,li_4339434305,"Software Engineer, All Teams",0.0191
Pengembangan Sistem Cerdas,1,li_4417027015,Data Scientist Level lll,0.0426
Pengembangan Sistem Cerdas,2,li_4424133161,MHN Data Analyst,0.0405
Pengembangan Sistem Cerdas,3,li_4435815437,Data Analyst (Data Management),0.0401
Pengembangan Sistem Cerdas,4,li_4428062436,Full Stack Engineer (ML),0.0388
Pengembangan Sistem Cerdas,5,li_4250715906,Data Scientist,0.0386
Pengembangan Sistem Cerdas,6,li_4434658960,Data Scientist,0.0363
Pengembangan Sistem Cerdas,7,li_4434678173,Data Scientist,0.0363
Pengembangan Sistem Cerdas,8,li_4434667511,Data Scientist,0.0363
Pengembangan Sistem Cerdas,9,li_4434660737,Data Scientist,0.0363
Pengembangan Sistem Cerdas,10,li_4434673373,Data Scientist,0.0363
